Date,GW
08/24/2017,80.8112
08/25/2017,76.7798
08/26/2017,68.4527
08/27/2017,65.4482
08/28/2017,67.4017
08/29/2017,80.782
08/30/2017,83.2185
08/31/2017,80.7505
09/01/2017,71.9669
09/02/2017,73.5967
09/03/2017,69.9525
09/04/2017,83.6924
09/05/2017,80.2795
09/06/2017,82.316
09/07/2017,85.7475
09/08/2017,87.4467
09/09/2017,80.9462
09/10/2017,74.9458
09/11/2017,82.6211
09/12/2017,72.1084
09/13/2017,80.6354
09/14/2017,83.0439
09/15/2017,84.4137
09/16/2017,78.6043
09/17/2017,71.9137
09/18/2017,83.8278
09/19/2017,84.2336
09/20/2017,82.7459
09/21/2017,82.6078
09/22/2017,83.8246
09/23/2017,73.4614
09/24/2017,69.9001
09/25/2017,81.3689
09/26/2017,79.7067
09/27/2017,82.2763
09/28/2017,83.4808
09/29/2017,81.4031
09/30/2017,73.8101
10/01/2017,65.7699
10/02/2017,77.8574
10/03/2017,79.7799
10/04/2017,81.4516
10/05/2017,81.0791
10/06/2017,80.5232
10/07/2017,76.9193
10/08/2017,67.046
10/09/2017,75.9633
10/10/2017,78.1066
10/11/2017,80.4232
10/12/2017,82.6568
10/13/2017,81.331
10/14/2017,71.8275
10/15/2017,66.7507
10/16/2017,78.1981
10/17/2017,79.9373
10/18/2017,82.4492
10/19/2017,80.3721
10/20/2017,81.6223
10/21/2017,77.1535
10/22/2017,73.1918
10/23/2017,81.4657
10/24/2017,80.6494
10/25/2017,79.7547
10/26/2017,80.2703
10/27/2017,80.8035
10/28/2017,76.0011
10/29/2017,68
10/30/2017,75.4155
10/31/2017,60.867
11/01/2017,50.3699
11/02/2017,67.2074
11/03/2017,75.4172
11/04/2017,69.1395
11/05/2017,64.6187
11/06/2017,79.0605
11/07/2017,82.0511
11/08/2017,83.2016
11/09/2017,77.0123
11/10/2017,77.0753
11/11/2017,74.2094
11/12/2017,66.1544
11/13/2017,70.9381
11/14/2017,73.1775
11/15/2017,74.9062
11/16/2017,80.5817
11/17/2017,78.7092
11/18/2017,75.8567
11/19/2017,70.871
11/20/2017,82.8117
11/21/2017,83.6165
11/22/2017,83.0102
11/23/2017,81.7251
11/24/2017,81.1152
11/25/2017,75.4265
11/26/2017,67.2521
11/27/2017,79.821
11/28/2017,81.7707
11/29/2017,81.4833
11/30/2017,71.9851
12/01/2017,81.3933
12/02/2017,75.6506
12/03/2017,69.881
12/04/2017,81.4596
12/05/2017,81.0666
12/06/2017,79.8266
12/07/2017,80.7086
12/08/2017,78.3582
12/09/2017,73.0061
12/10/2017,67.1251
12/11/2017,76.7994
12/12/2017,76.9335
12/13/2017,76.5959
12/14/2017,76.3937
12/15/2017,72.8504
12/16/2017,63.7874
12/17/2017,58.1638
12/18/2017,68.3292
12/19/2017,72.1037
12/20/2017,72.6537
12/21/2017,70.9645
12/22/2017,70.8012
12/23/2017,62.9836
12/24/2017,57.6516
12/25/2017,55.028
12/26/2017,66.2039
12/27/2017,69.2963
12/28/2017,69.8474
12/29/2017,66.7858
12/30/2017,55.9036
12/31/2017,51.0506
01/01/2018,47.9642
01/02/2018,60.84205
01/03/2018,68.905
01/04/2018,73.4759
01/05/2018,76.3344
01/06/2018,71.2703
01/07/2018,65.3525
01/08/2018,78.0874
01/09/2018,79.3735
01/10/2018,79.0825
01/11/2018,76.0784
01/12/2018,71.7009
01/13/2018,65.2667
01/14/2018,58.5274
01/15/2018,71.7974
01/16/2018,73.3223
01/17/2018,72.1134
01/18/2018,75.2891
01/19/2018,73.6392
01/20/2018,67.9342
01/21/2018,62.6497
01/22/2018,75.2947
01/23/2018,77.1719
01/24/2018,76.5098
01/25/2018,77.5656
01/26/2018,78.8886
01/27/2018,69.8693
01/28/2018,59.3189
01/29/2018,73.5187
01/30/2018,75.4422
01/31/2018,75.3786
02/01/2018,76.9962
02/02/2018,75.7527
02/03/2018,67.6088
02/04/2018,59.8425
02/05/2018,70.8152
02/06/2018,70.0888
02/07/2018,70.7339
02/08/2018,70.3533
02/09/2018,72.2217
02/10/2018,68.9469
02/11/2018,62.9644
02/12/2018,73.776
02/13/2018,73.5457
02/14/2018,72.1361
02/15/2018,75.8353
02/16/2018,70.9928
02/17/2018,72.1711
02/18/2018,65.6356
02/19/2018,77.114
02/20/2018,79.7978
02/21/2018,80.7896
02/22/2018,81.4696
02/23/2018,78.4676
02/24/2018,73.1066
02/25/2018,66.8748
02/26/2018,78.7804
02/27/2018,79.9524
02/28/2018,81.2655
03/01/2018,82.7156
03/02/2018,83.5238
03/03/2018,76.9785
03/04/2018,70.3823
03/05/2018,82.1164
